event_idx,host_galaxy_index,stellar_mass_1e10_Msun,host_redshift,BH_mass_Msun,sigma_M_Msun,sigma_M_fractional,sigma_M_dex,ds
13,15825929,0.2,0.0561329979999999,463533.8938044081,803549.6032254824,1.733529336183875,0.752862224922064,-1.1036929255599395
18,4491193,0.8,0.16785499,1987213.3054627255,1829073.2001023148,0.9204211722386855,0.3997338361301836,-0.3018935474432991
43,16383069,9.0,0.26484299,25232171.910742603,20802905.518413704,0.8244595666200603,0.3580582403354386,-0.2730250577068103
44,9627782,0.1,0.033436,223872.11385683485,500890.19617228303,2.2373943209943508,0.9716880074495193,-0.29995020550845886
46,14272787,4.0,0.115507,10768692.872787867,10603946.429873087,0.9847013518854187,0.4276503634465096,-2.197346134142995
50,9333203,2.0,0.16752,5200935.830429927,4181141.593890627,0.8039210115662971,0.3491384592093231,-0.2646999771208409
105,18150812,6.0,0.192654,16483856.036139512,12959538.920472031,0.7861958325806351,0.3414405117851026,-0.3920522629490717
107,17297906,3.0,0.24931,7961177.69303711,5511993.34490642,0.6923590400107813,0.30068771057251503,-0.3056033650283394
118,846453,0.3,0.021563,709540.708756878,1110176.7095774615,1.564641317793452,0.6795150904755284,-0.2517041217032554
171,16037654,3.0,0.259619,7961177.69303711,5511993.34490642,0.6923590400107813,0.30068771057251503,-0.5447969589534192
187,13997426,5.0,0.27377599,13611892.310650198,11725481.564707601,0.8614145114513848,0.3741075689547219,-1.1499850265018088
189,2253671,6.0,0.27547899,16483856.036139512,12959538.920472031,0.7861958325806351,0.3414405117851026,-0.3327617005204783
201,17597803,1.2,0.162579,3041867.608939257,2859545.2427547956,0.9400623598316168,0.4082638955198203,-1.7796993688609304
211,16298760,0.8,0.123164,1987213.3054627255,2023318.2123299886,1.0181686116774746,0.442185009698622,-0.5410281293897863
231,9688037,0.4,0.090833001,959760.7625346358,1201500.703359745,1.2518752070950443,0.5436824944728683,-0.3941590266986591
251,11810492,0.7,0.164194,1727241.0143078375,1530230.8603857222,0.8859393956661782,0.3847585908385229,-1.0832930066673176
271,12634004,8.0,0.24527,22296900.01363584,17493463.071128678,0.7845692926115476,0.3407341144519328,-0.8413970906417482
280,14093955,2.0,0.2105119999999999,5200935.830429927,4181141.593890627,0.8039210115662971,0.3491384592093231,-0.2128773355211775
292,10260391,0.8,0.19769099,1987213.3054627255,1829073.2001023148,0.9204211722386855,0.3997338361301836,-1.607858273026784
298,15635150,0.9,0.111153,2248819.6886601276,2333169.846270781,1.037508635323675,0.4505842752480453,0.022548516809806074
361,6384844,10.0,0.22028799,28183829.312644634,22101342.745862283,0.7841852326272267,0.34056731932002243,-0.7363368302547351
383,10196895,1.0,0.157132,2511886.431509587,2247225.256107703,0.8946364883053933,0.38853569018033535,-0.3111202104438602
